# TIC   vsini   r   prot_ls   prot_cat   temperature   logg
1713457 1.4 4.9344 2.4588 nan 5027.0 NaN
1727930 nan 0.5607 1.7946 nan 3460.0 4.6847
1728294 nan 1.4749 0.7682 nan 5573.55 4.0931
1735555 nan 0.1546 1.1697 nan 2995.0 5.1615
1736351 nan 2.2047 0.5350 nan 5401.0 3.7240
1758323 nan 11.0709 2.8267 nan 5049.0 NaN
1813768 nan 0.1655 7.2273 nan 3013.0 5.1348
1816359 nan 0.3012 13.8052 nan 3191.0 4.9244
1828620 nan 11.4725 1.1934 nan 4776.0 NaN
1835780 nan 0.2803 2.3354 nan 3219.0 4.9482
1861353 nan 0.3148 1.2903 nan 3143.0 4.9098
1948949 nan 0.5801 1.0880 nan 3988.0 4.6681
1950843 nan 0.2298 2.4187 nan 3181.0 5.0150
2013258 nan 0.4926 1.1643 nan 3419.0 4.7439
2019023 nan 0.2235 6.2696 nan 3082.0 5.0246
2019027 nan 0.4575 4.4829 nan 3495.0 4.7749
2137185 nan 0.2191 2.5135 nan 3227.0 5.0314
2144138 nan 0.2088 2.4865 nan 3089.0 5.0485
2213642 nan 0.4901 0.3435 nan 3041.0 4.7461
2236662 nan 0.4182 2.9190 nan 3427.0 4.8101
2241421 nan 0.2646 1.1598 nan 3214.0 4.9673
2352319 nan 0.6692 2.3458 nan 3769.0 4.5941
2353789 nan 2.2656 0.9363 nan 6969.0 3.9124
2355179 nan 0.2161 4.8449 nan 3181.0 5.0364
2372796 nan 33.8460 5.8892 nan 3941.0 NaN
2470992 nan nan 5.0600 nan nan NaN
2488627 nan 0.2068 0.3119 nan 3139.0 5.0518
2518662 nan 0.4434 1.6721 nan 3185.0 4.7874
2669197 nan 2.0313 8.3786 nan 6341.0 3.9215
2679752 nan 1.8902 5.5377 nan 5929.44 3.9189
2748551 21.0 1.8086 2.2100 nan 5813.0 NaN
2760232 nan 0.2256 0.3992 nan nan 5.0214
2761472 nan 0.2160 4.6212 nan 3041.0 5.0364
2835941 2.9 10.5099 2.5789 nan 4814.4 NaN
2840019 nan 11.3545 5.7442 nan 4191.0 NaN
2852467 nan 0.6209 5.1769 nan 3786.0 4.6336
2926575 nan nan 4.7220 nan nan NaN
3032519 nan 74.9216 12.0445 70.0000 nan NaN
3093756 nan 0.2869 0.9890 nan 3397.0 4.9405
3127674 nan 0.1607 0.5548 nan 3033.0 5.1462
3223360 nan 0.5104 0.7975 nan 3600.0 4.7283
3296473 117.2 3.8998 5.3764 nan 6644.0 3.4021
3298844 nan 12.0281 23.4280 nan 4675.0 NaN
3367234 nan 0.1540 0.8460 nan nan 5.1498
3448013 nan 18.9340 12.6680 nan 4537.0 NaN
3449798 nan 9.1025 5.5611 nan 5006.0 NaN
3525057 nan 0.1910 13.6977 nan nan 5.0805
3582508 nan 0.1830 5.8632 nan nan 5.0925
3585136 nan 2.4578 3.4208 nan 5806.0 3.6740
3588888 nan 0.5976 2.1873 nan 3397.0 4.6532
3645653 nan 0.4516 13.3386 nan 6443.0 nan
3664898 10.5 0.1240 0.4586 nan 2814.0 5.2489
3716233 nan 1.0350 6.0107 nan 6013.62 NaN
3814944 nan 0.4788 2.6937 nan 3473.0 4.7560
3818153 nan 0.1618 1.5741 nan 2901.0 5.1435
3887989 nan 0.1871 13.2343 nan 3052.0 5.0882
3888273 nan 0.0066 0.1018 nan nan NaN
3888550 nan 0.5343 8.8061 nan 3434.0 4.7075
3898381 nan 0.3500 0.5329 nan nan 4.9005
3901009 nan 0.4842 1.9891 nan 3718.0 4.7513
3907438 nan 0.4415 6.1570 nan 3426.0 4.7891
3921749 nan 0.8476 2.8282 nan 4007.0 4.3810
3922848 nan 11.1308 1.8238 nan 4688.0 NaN
3926262 22.0 1.4359 4.0854 nan 5540.0 4.1106
3941168 1.0 0.9800 10.2062 nan 5743.82 4.4685
3941985 nan 4.4554 0.4523 0.4524 6593.0 nan
3962869 4.3 1.1308 8.3628 nan 6270.16 4.4177
3996132 nan 36.1541 3.2160 nan 4236.0 NaN
4008073 nan 0.4350 4.0585 nan nan 4.8233
4008098 nan 0.2267 0.3580 nan 3122.0 5.0196
4068716 nan 0.2960 6.8984 nan 3312.0 4.9301
4076914 nan 1.7903 1.6383 nan 7273.18 4.1471
4205874 nan 1.0662 4.2920 nan 6358.0 4.4842
4248830 nan 1.2843 3.6033 nan 6293.0 4.3117
4293841 nan nan 1.4084 nan nan NaN
4302471 nan 0.7564 8.5451 nan 4753.58 4.5637
4305219 nan 0.7509 3.9732 nan 4521.83 NaN
4380003 nan 2.8721 0.1038 nan 5912.79 3.5551
4430718 nan 56.6263 23.5845 nan 3915.0 NaN
4626620 nan 0.3272 3.8056 nan nan 4.8968
4629480 nan 1.7691 8.4011 nan 5509.0 3.9280
4629498 nan 0.9911 14.5797 nan 5327.0 4.4092
4630124 nan 0.4906 2.0790 nan 3517.0 4.7457
4645762 nan 0.4288 10.6862 nan 3160.0 4.8005
4646638 nan 0.8425 13.6295 nan 5666.0 4.5913
4672084 nan 0.4642 6.0719 nan 3390.0 4.7689
4673917 nan 1.6943 3.1822 nan 5890.0 4.0091
4694452 nan 0.5074 0.5230 nan 3470.0 4.7309
4694453 nan 0.5525 0.5230 nan 3818.0 4.6918
4697459 nan 2.9266 8.9030 nan 6046.0 3.5545
4698156 nan 0.3469 13.1325 nan 3498.0 4.8770
4699111 180.0 1.7973 14.9496 nan 9921.0 nan
4701801 nan 0.2346 0.2121 nan 3059.0 5.0078
4715186 nan 0.8929 13.0138 nan 5453.0 4.5151
4715901 nan 0.1280 9.4687 nan nan 5.2063
4716922 nan 0.6327 6.8481 nan 3647.0 4.6238
4718675 nan 2.1044 1.5242 nan 5675.96 3.7961
4723013 nan 0.3180 13.8627 nan nan 4.9319
4723156 nan 0.2671 5.0170 nan 3057.0 4.9642
4734965 nan 1.7254 3.0951 nan 5925.57 3.9977
4735797 nan 0.3562 8.9425 nan 3295.0 4.8679
4739075 77.2 2.5623 1.5694 nan 6684.0 3.7700
4739540 nan 0.2026 0.1185 nan 3417.0 5.0593
4739753 nan 0.4157 0.2617 nan 3394.0 4.8123
4741966 nan 0.5209 15.6158 nan 3434.0 4.7191
4742417 1.16 2.0534 8.7587 nan 5704.83 3.8217
4742521 nan 0.9583 5.7362 nan 5830.0 4.4963
4745850 nan 0.2633 0.6043 nan 3200.0 4.9690
4746245 nan 2.6962 2.7145 nan 6547.0 NaN
4746459 nan 0.7920 6.1207 nan 4557.0 4.4974
4748090 nan 0.2192 9.9027 nan 3234.0 5.0313
4749314 nan 0.3128 3.7666 nan 3302.0 4.9118
4750626 nan 0.2206 6.7477 nan 3153.0 5.0291
4751258 nan 0.1894 0.1553 nan 2848.0 5.0838
4751986 8.0 0.6893 3.9613 nan 3933.0 4.5781
4752246 12.0 1.9586 1.0121 nan 6946.7 4.0360
4786838 nan 0.6606 3.4891 nan 3621.0 4.6010
4897192 nan 55.1660 6.2770 nan 3836.0 NaN
4931621 nan 0.2485 1.9883 nan 3228.0 4.9883
4957914 nan 0.5650 1.2466 nan 3695.0 4.6810
4958955 nan 1.0563 4.4324 nan 6048.0 4.4416
4972033 nan 0.3569 5.8474 nan 3389.0 4.8672
4992698 nan 1.0895 3.3178 nan 6094.0 4.4220
5080227 nan 0.3717 2.0957 nan 3349.0 4.8530
5081539 nan 0.8974 9.6804 nan 5198.0 NaN
5092088 nan 1.9421 1.0082 nan 7356.0 nan
5224830 nan 0.4691 1.3706 nan 3502.0 4.7646
5227087 nan 52.9851 12.6289 nan 4348.0 nan
5342415 nan 0.4282 0.5583 nan 3288.0 4.8010
5362024 nan 0.4673 7.0940 nan 3588.0 4.7661
5449944 nan 0.3658 2.9171 nan 3107.0 4.8587
5452654 nan 0.1835 0.1902 nan 3118.0 5.0956
5485321 nan 1.5492 0.3862 nan 6600.0 4.1971
5494171 nan 94.1544 11.6672 nan 3619.0 NaN
5630507 nan 5.4891 0.8072 nan 4600.0 NaN
5632856 nan 11.2557 0.8988 nan 4534.0 NaN
5636651 nan 0.0199 1.8684 0.3298 nan NaN
5640393 nan 0.2870 0.9643 nan nan 4.9636
5656273 78.6 0.5872 0.4312 0.4312 3815.0 4.6620
5676537 8.5 0.6866 5.2617 5.1600 4515.0 NaN
5714469 nan 0.4017 0.4315 nan 2910.0 4.8250
5722370 nan 0.8694 5.5695 nan 5142.0 4.4982
5725904 nan 0.2343 0.3304 nan 3124.0 5.0083
5727213 nan 0.2950 2.6798 nan nan 4.9567
5776219 nan 0.4658 11.9345 nan 3905.0 4.8870
5796048 nan 0.5594 0.5556 nan 3621.0 4.6586
5796211 nan 0.5760 2.4903 nan nan 4.7135
5868840 nan 71.4472 10.5260 nan 3922.0 NaN
5877580 nan 0.2642 1.0709 nan 3269.0 4.9679
5878319 nan 0.5239 4.8895 nan 3655.0 4.7165
5911045 nan 0.6735 4.2630 nan 4213.0 4.6009
5970086 nan 54.5900 4.6659 nan 3952.0 NaN
6013637 2.76 17.7193 3.1524 nan 5136.0 NaN
6014266 nan 0.2209 0.3583 nan 2933.0 5.0286
6034847 nan 0.1340 0.5827 nan nan 5.1799
6035158 nan 19.3175 1.8440 nan 4581.0 NaN
6105860 nan 87.8603 12.2965 nan 3997.0 NaN
6116226 nan 0.4245 0.4546 nan 3272.0 4.8044
6229767 nan 2.0169 1.7383 nan 6217.0 3.9079
6408199 nan 0.7380 8.0137 nan 4762.0 4.5885
6526912 nan 1.2454 2.3020 nan 5541.0 4.2387
6863963 nan 0.2590 8.8966 nan nan 4.9956
6951741 nan 0.5568 8.6880 nan 3489.0 4.6881
7061092 nan 0.3140 3.4527 nan nan 4.9359
7147484 nan 71.6186 15.8570 nan 3546.0 NaN
7151484 7.8 0.4387 1.1558 nan 3403.0 4.7916
7219775 nan 0.6124 1.2476 nan 3780.0 4.6408
7221735 nan 0.4245 0.9841 nan 3544.0 4.8043
7242537 19.8 0.7921 1.1181 nan 4530.0 4.4918
7242783 nan 0.8532 4.0135 nan 5323.0 4.5397
7320573 nan 1.0253 3.6422 nan 5535.0 4.4031
7320873 nan nan 0.6253 nan nan NaN
7413834 nan 1.8902 4.9925 nan 6166.69 3.9551
