# TIC   vsini   r   prot_ls   prot_cat   temperature   logg
102164996 nan 0.1620 0.9456 nan nan 5.1232
102169275 nan 1.7593 1.0914 nan 6617.0 4.0904
102176838 nan 0.6769 0.6945 nan 3956.0 4.5879
102215641 nan 0.2578 2.1790 nan 3140.0 4.9759
102304013 nan 0.7877 6.3517 nan 4745.0 NaN
102313287 nan 4.3743 6.5902 nan 5508.0 NaN
102328798 nan 0.3866 0.2975 nan 3316.0 4.8390
102350035 nan 17.4069 4.0581 nan nan nan
102422951 nan 0.4271 6.0908 nan 3427.0 4.8020
102469853 nan 206.1790 6.3888 nan 4001.0 nan
102607682 nan 0.2591 8.3397 nan nan 4.9743
102607689 nan 0.2118 8.3440 nan nan 5.0434
102612255 nan 38.1678 3.6202 nan 3985.0 NaN
102628187 nan 0.7925 6.4000 nan 4130.0 4.4530
102677299 nan 1.3795 4.8295 nan 6813.0 4.3254
102679397 nan 0.3956 0.8597 nan 3232.0 4.8307
102807490 nan 16.1639 2.7215 nan nan NaN
102833322 nan nan 0.3200 nan nan NaN
102841799 nan 0.9371 5.4020 nan 5482.0 4.4767
102843135 nan 2.6756 2.5527 nan 6091.5 3.6413
102846648 nan 1.0357 6.1320 nan 5985.0 4.4493
102847863 nan 1.6881 0.3111 nan 7185.0 4.1893
102885744 nan 0.3757 2.4661 nan 3439.0 4.8493
102886692 nan 0.7805 8.3688 nan 5479.0 4.6356
102897761 nan 0.9262 0.9948 nan 5733.0 4.5150
102899177 nan 0.8145 6.4223 nan 5339.0 4.5801
102923959 nan 0.9236 4.9371 nan 5768.0 4.5212
102929927 nan 1.8301 2.7720 nan 6101.0 3.9727
103032255 nan 10.2922 1.8975 nan 4980.0 NaN
103068804 nan 0.7166 8.8956 nan 4504.26 4.5787
103096381 nan 0.9972 5.2611 nan 6129.0 nan
103101099 nan 0.3981 0.1676 nan 3020.0 4.8284
103107644 nan 0.7299 5.4467 nan 4195.05 4.5311
103125805 nan 0.6310 1.3271 nan 3974.0 4.6252
103138689 nan 130.3340 8.3949 nan nan NaN
103176717 nan 0.9497 4.7125 nan 5821.0 4.5033
103196104 nan 1.2988 1.3596 nan 6438.0 4.3256
103199606 nan 0.9820 0.4212 nan 6158.0 4.5224
103224787 nan 0.7788 9.4050 nan 5165.07 4.5947
103442446 nan 1.4532 9.0272 nan 6386.0 4.2196
103452621 nan 1.6869 0.8015 nan 6985.0 NaN
103554525 nan 45.4788 4.9864 nan 3978.0 NaN
103564452 nan 0.8100 7.7712 nan 4921.0 4.5296
103565448 nan 0.6604 0.6302 nan 3567.0 4.6011
103566595 nan 3.5327 2.0938 nan 7475.0 nan
103571388 nan 0.6989 10.5938 nan 4069.0 4.5555
103578678 nan 1.2398 5.7859 nan 6405.0 4.3619
103580569 nan 0.6290 2.4961 nan 3704.0 4.6269
103582096 nan 0.3829 6.1985 nan 3214.0 4.8425
103605168 nan 0.4518 3.8978 nan 3528.0 4.7799
103605968 nan 0.7124 3.1917 nan nan NaN
103630885 nan 1.7997 5.2150 nan 6737.0 4.0851
103631501 nan 0.3587 0.9293 nan 3303.0 4.8655
103631905 nan 1.4092 2.5483 nan 6664.0 4.2893
103632031 nan 0.2862 1.2266 nan 3244.0 4.9412
103632402 nan 0.6133 0.3433 204.0000 4742.0 4.7435
103640174 nan 1.1076 3.6925 nan 6392.0 4.4565
103656470 nan 0.2495 5.0428 nan 3171.0 4.9870
103657632 nan 0.7002 11.3779 nan 4178.0 4.5605
103683084 nan 0.8643 1.5254 nan 4253.0 4.3843
103687176 nan 0.6549 0.5971 nan 3818.0 4.6056
103687873 nan 0.9876 1.0153 nan 4480.0 4.2959
103691996 nan 0.2999 4.8637 nan 3347.0 4.9258
103700423 nan 0.2764 3.3294 nan 3237.0 4.9528
103741262 nan 0.3906 2.3030 nan 3307.0 4.8354
103743317 nan 0.3921 0.7698 nan 3459.0 4.8340
103744150 nan 1.1336 1.9785 nan 5059.0 4.2534
103751358 nan 45.1007 10.4321 nan 4016.0 NaN
103754888 nan 0.7843 3.2646 nan 4982.0 4.5650
103765591 nan 1339.4301 7.5974 nan 3747.0 nan
103777040 nan 1.8342 0.4733 nan 6892.0 4.0873
103802294 nan 66.3900 7.6911 nan nan NaN
103806853 nan 0.7480 12.9781 nan 4333.0 4.5228
103892007 nan 2.3153 14.7119 nan 6378.38 3.8127
103958547 nan 2.3138 0.4708 nan 7773.0 nan
103958741 nan 1.4655 4.8265 nan 6514.0 4.2332
104024556 nan 1.9423 1.0122 nan 7081.0 4.0574
104091860 nan 0.8270 4.6369 nan 5258.0 4.5573
104187207 nan 120.3750 13.1844 nan 3016.0 NaN
104483383 nan 0.6471 1.6746 nan 3481.0 4.6120
104656023 nan 0.3776 0.8887 nan 3201.0 4.8475
104909909 nan 3.3646 1.2948 nan 12546.0 nan
104975120 nan 1.5431 0.5598 nan 7046.02 nan
105104924 nan 0.2213 0.1436 nan 3008.0 5.0280
105240596 nan 0.5557 3.9394 nan 3900.0 4.6891
105379582 nan 1.0316 0.7654 nan 5914.76 4.4433
105440997 nan 1.1302 1.9724 nan 5026.0 4.2540
105484834 nan 0.2977 0.7385 nan 3266.0 4.9283
105485567 nan 0.6991 1.3824 nan 4077.0 4.5551
105485569 nan 0.6174 1.3824 nan 3939.0 4.6366
105488249 nan 0.7614 0.8314 nan 5058.0 4.5991
105507045 nan 0.8166 10.5124 nan 4420.33 4.4529
105513234 nan 0.1716 1.3234 nan 3015.0 5.1209
105517114 nan 11.7714 0.2243 0.2244 nan nan
105576710 nan 0.7904 22.2091 nan 5512.54 4.6282
105577069 nan 0.1836 1.9869 nan 2888.0 5.0953
105578054 nan 0.6760 10.1431 nan 4134.0 4.5911
105615536 nan 23.6415 6.8234 nan 4355.0 NaN
105616263 nan 15.4549 9.2956 18.6920 4262.0 NaN
105628617 nan 0.6282 3.3278 nan 3692.0 4.6276
105710145 nan 1.0499 0.4201 nan 3788.0 4.1592
105715520 nan 1.0822 5.1274 nan 5376.97 4.3388
105992511 nan 0.4065 0.4345 nan 3264.0 4.8207
106086659 nan 1.4208 3.0602 nan 6350.0 4.2334
106107517 nan 1.7637 0.3965 nan 7291.0 4.1619
106130527 nan 4.4639 6.6617 nan 4999.0 NaN
106315632 nan 0.1817 0.9949 nan 2871.0 5.0992
106344480 nan 0.5523 1.3311 nan 3621.0 4.6920
106403786 nan 1.6020 1.0953 nan 6918.0 nan
106466729 nan 0.8025 1.4256 nan 5441.0 4.6069
106470229 nan 1.1318 1.2581 nan 6114.0 4.3912
106493402 nan 0.3723 0.9270 nan 3291.0 4.8524
106498702 nan 2.0935 1.4499 nan 7028.0 3.9866
106504049 nan 0.4986 6.3034 nan nan 4.7386
106608272 nan 0.5449 3.4739 nan 3498.0 4.6984
106753601 nan 0.3358 0.5785 nan 3196.0 4.8880
106754792 nan 72.3274 23.9112 nan 3653.0 NaN
106807732 nan 1.4048 1.2802 nan 6314.0 4.2363
106816303 nan 1.5898 0.4620 nan 7489.0 nan
106885642 nan 13.2976 0.7535 nan 4975.0 NaN
107012050 nan nan 0.2537 nan nan NaN
107114581 nan 0.8068 4.4275 nan 4885.0 4.5265
107139259 nan 105.4227 10.5622 nan nan NaN
107147988 nan 1.0077 7.7313 nan 6058.0 4.4841
107340922 nan 0.3078 2.3703 nan 3157.0 4.9172
107342211 nan 0.3807 3.6064 nan 3292.0 4.8446
107376560 nan 0.2770 1.2799 nan nan 4.9751
107508677 nan 0.5231 0.5280 nan 3377.0 4.7173
107609832 nan 0.3464 24.0123 nan 3302.0 4.8775
108655743 nan 0.1757 0.2132 nan 3013.0 5.1120
108655754 nan 0.3679 0.2132 nan 3398.0 4.8566
108751745 nan 0.6644 0.4887 nan 3626.0 4.5979
108946231 nan 0.1830 1.6062 nan nan 5.0925
108946638 nan 1.7994 0.4901 nan 7261.0 4.1413
109309750 nan 0.1969 0.2062 nan 3077.0 5.0696
109316392 nan 0.3772 5.5019 nan 3289.0 4.8478
109319212 nan 0.7609 1.5151 nan 4025.0 4.4741
109454678 nan 0.1330 0.5255 nan nan 5.1864
110095046 nan 0.4209 2.7943 nan 3261.0 4.8076
110553661 nan 0.2680 2.6619 nan 3160.0 4.9630
110562524 nan 0.3977 5.9780 nan 3142.0 4.8287
111012702 nan 0.3162 23.8679 nan 3250.0 4.9083
111012837 nan 0.5092 0.8173 nan 3293.0 4.7293
111104547 nan 0.6233 0.4364 nan 3975.0 4.6317
111210314 nan 0.5485 3.8475 nan 3440.0 4.6952
111362929 nan 2.9240 1.1305 nan 6267.0 3.5925
111564865 nan 0.4521 0.7136 nan 3455.0 4.7797
111638911 nan 1.7795 1.2755 nan 6126.0 NaN
111747422 nan 0.4289 7.0418 nan 3175.0 4.8004
111750740 nan 5.2559 2.6972 nan 4719.0 NaN
111755544 nan 0.4626 4.1760 nan 3300.0 4.7704
111873505 nan 0.8432 5.9654 nan 4811.0 4.4783
111991770 nan 1.5032 3.7836 nan 6169.0 4.1544
112021355 nan 13.5508 9.5466 nan 4965.0 nan
112022245 nan 42.1822 5.4390 nan 3972.0 NaN
112115898 nan 0.2267 3.3187 nan 3190.0 5.0197
112176566 nan 0.4944 1.2248 nan 3151.0 4.7423
112232370 nan 0.3080 2.8579 nan nan 4.9413
112232371 nan 0.5034 2.8552 nan 3765.0 4.7344
112233050 nan 0.2621 5.6994 nan 2913.0 4.9705
112409462 nan 0.3099 6.6331 nan 3099.0 4.9149
112464324 nan 0.5725 0.4140 nan 3185.0 4.6746
112472211 nan nan 0.4791 nan nan NaN
112499223 nan 0.6102 6.8626 nan 3634.0 4.6426
112595909 nan 0.2720 1.1019 nan nan 4.9809
112603237 nan 0.2958 0.6984 nan 3098.0 4.9304
112603301 nan 0.6611 1.6333 nan nan 4.6006
112680448 nan 65.8489 7.8155 nan 3879.0 NaN
112825813 nan nan 2.6471 nan nan NaN
112917492 nan 10.9581 1.5120 nan 5014.0 NaN
113285880 nan 0.4448 0.4061 nan 3438.0 4.7861
113346025 nan 45.0406 3.3371 nan 4017.0 NaN
113415545 nan 148.8910 11.1427 nan 3148.0 NaN
113425376 nan 0.1483 2.9156 nan 2915.0 5.1780
113454452 nan 1.8252 1.9466 nan 10501.0 nan
113463564 nan 1.5833 0.7538 nan 7053.0 nan
113500710 nan 0.3549 0.6177 nan 2972.0 4.8692
113536554 nan 3.7626 2.2545 nan 6608.04 3.4270
113565705 nan 3.2746 0.8292 nan 6627.0 3.5508
113631791 nan 1.8425 0.8613 nan 6682.0 4.0577
113668546 nan 2.5291 0.7000 nan 7292.0 3.8496
113675307 nan 0.4960 12.3827 nan 3391.0 4.7409
113710908 nan 2.0707 2.6132 nan 6927.0 3.9854
113854297 nan 7.7108 3.3498 nan 5087.0 NaN
113914408 nan 0.4156 3.1641 nan 3301.0 4.8124
114023190 nan 0.3307 11.9248 nan 3230.0 4.8932
114302937 nan 0.4959 4.3741 nan 3464.0 4.7410
114433771 nan 3.2027 0.1147 nan 7068.0 3.6202
114472249 nan 0.1587 1.4070 nan 2816.0 5.1511
114478200 nan 19.5512 0.5847 nan 4996.0 NaN
114504864 nan 0.6696 8.9460 nan 5034.0 NaN
114740265 nan 1.2248 2.7562 nan 5335.0 4.2262
114792893 nan 10.5749 1.9293 nan 4965.0 NaN
114794572 nan 0.1943 4.4043 nan 3144.0 5.0743
114804385 nan 0.2116 6.0358 nan 3233.0 5.0438
114804400 nan 0.3929 0.6081 nan 3279.0 4.8332
114804401 nan 0.4767 0.6085 nan 3497.0 4.7579
114810401 nan 0.8552 12.6508 nan 5213.0 4.5233
114818345 nan 87.3021 23.4181 1269.3320 3680.0 nan
114818487 nan 0.2292 0.3184 nan 2975.0 5.0158
114819742 nan 0.4285 0.7707 nan 3590.0 4.8008
114819903 nan 0.8821 1.4146 nan 3831.0 4.3164
114851071 nan 0.5031 2.5819 nan 3417.0 4.7347
114858562 nan 0.2994 0.3463 nan 3062.0 4.9263
114858879 nan 111.5340 16.4866 nan 3073.0 NaN
114859970 nan 3.8645 5.2841 nan 6226.37 3.3438
114877435 nan 2.3482 5.9990 nan 6564.0 3.8305
114879001 nan 0.2990 5.3669 nan 3283.0 4.9268
114912985 nan 13.8186 0.8314 nan 4587.0 NaN
114923140 nan 1.0394 4.3467 nan 5568.0 4.3958
114953216 nan 0.2345 1.0575 nan 3190.0 5.0080
114985772 nan 0.2844 8.9074 nan 3261.0 4.9433
114988852 nan 29.8272 2.7802 nan 4347.0 NaN
115010949 nan 0.4820 0.2997 nan 3636.0 4.7532
115012100 nan 0.4267 4.5452 nan 3404.0 4.8023
115015715 nan 0.6658 1.5773 nan 4107.0 NaN
115076091 nan 1.7311 5.6007 nan 5590.0 3.9571
115104089 nan 0.1661 1.0405 nan 3009.0 5.1334
115104943 nan 0.8064 5.4381 nan 4769.0 4.5114
115111347 nan 0.1946 0.4288 nan 3040.0 5.0738
115117396 nan 0.3127 3.8605 nan 3304.0 4.9120
115131636 nan 0.2342 12.1204 nan 3325.0 5.0085
115173395 nan 1.6214 2.4669 nan 6312.82 4.1124
115178586 nan 3.1321 3.8874 nan 6312.92 3.5398
115185040 nan 0.3917 4.7479 nan 3383.0 4.8343
115186396 nan 0.5387 3.8817 nan 3699.0 4.7037
115190256 nan 0.4922 0.5456 nan 3487.0 4.7442
115197835 nan 0.4768 1.8031 nan 3596.0 4.7578
115242296 nan 0.4525 2.5833 nan 3312.0 4.7793
115242300 nan 0.3600 12.7213 nan nan 4.8905
115265695 nan 0.4545 0.5310 nan 3379.0 4.7776
115280183 nan 0.9145 3.1485 nan 5582.0 4.5113
115282129 nan 0.6367 9.1645 nan 3837.0 4.6205
115284172 nan 0.9040 6.0687 nan 5686.0 4.5300
115288187 nan 1.7756 0.4274 nan 7084.63 4.1353
115318605 nan 0.2655 1.4054 nan 3093.0 4.9662
115348110 nan nan 0.4056 nan nan NaN
115351036 nan 1.6945 0.1847 nan 7283.0 nan
115351489 nan 35.2799 5.5105 nan 4182.96 NaN
115357420 nan 0.9631 5.8515 nan 5769.0 4.4835
115384499 nan 0.1974 13.6699 nan 3067.0 5.0686
115401983 nan 0.3048 0.8535 nan 3355.0 4.9204
115411787 nan 0.3457 3.2826 nan 3251.0 4.8782
115419899 nan 0.2270 1.4077 nan 3168.0 5.0192
115420152 nan 2.1851 3.8550 3.8567 8909.0 nan
115422926 nan 0.5365 2.3596 nan 3459.0 4.7056
115443993 nan 5.9743 2.5072 nan 4923.0 NaN
115450742 nan 1.1255 3.5741 nan 5759.0 NaN
115481900 nan 3.3165 1.6532 nan 6257.0 3.4817
115507777 nan 0.9158 6.9328 nan 5626.0 4.5145
115510020 nan 0.2600 2.4187 nan 3232.0 4.9732
115512822 nan 0.1330 0.1988 nan nan 5.1820
115518053 nan 0.4561 1.2823 nan 3429.0 4.7761
115519500 nan 0.5068 0.6909 0.6912 3559.0 4.7315
115519737 nan 0.3908 1.7754 nan 3522.0 4.8352
115521130 nan 99.8258 4.7530 nan 3396.0 NaN
115524667 nan 1.1283 4.8434 nan 6268.0 4.4199
115581916 nan 1.0703 3.3193 nan 5614.0 NaN
115582908 nan 1.1081 2.4018 nan 6089.0 4.4058
115582979 nan 0.7452 6.6508 15.3900 4837.0 4.5912
115591227 nan 0.3163 0.3690 nan 3130.0 4.9082
115591682 nan 1.8535 0.1402 nan 6934.0 NaN
115623434 nan 0.7950 7.9159 nan 4962.0 4.5511
115627833 nan 1.6530 0.4893 nan 7304.45 4.2190
115650797 nan 86.4648 9.4725 nan 3981.0 NaN
115692339 nan 36.0028 12.3877 nan 3962.0 NaN
115693552 nan 0.2270 0.8114 nan 3050.0 5.0192
115718110 nan 49.9348 4.8961 nan 3954.0 NaN
115725529 nan 0.2779 2.6735 nan 3296.0 4.9510
115737834 nan 0.2938 2.7804 nan 3238.0 4.9327
115747123 nan 0.2425 2.9567 nan 3290.0 4.9965
115780639 nan 110.9650 10.6605 nan 3725.82 NaN
115810824 nan 0.7588 6.4842 nan 4511.7 4.5291
115816539 nan 0.4039 0.6521 nan 3307.0 4.8231
115853789 nan 10.6809 1.0549 nan 4924.0 NaN
115856352 nan 1.1944 2.1551 nan 6203.0 4.3600
115856460 nan 1.6588 0.4069 nan 7497.0 4.2358
115861898 nan 0.2215 0.2978 nan 3197.0 5.0277
115863808 nan 0.6917 5.8714 nan 4123.0 4.5711
115867419 nan 11.7621 1.5285 nan 4595.61 NaN
115869504 nan 0.3585 6.1682 nan 3287.0 4.8657
115914968 nan 1.2479 5.0355 nan 5848.0 4.2710
115919659 nan 0.8594 6.0734 nan 5529.0 4.5565
115981807 nan 0.6033 3.3421 nan 3853.0 4.6484
116058605 nan 0.5436 6.3106 nan 3819.0 4.6995
116096582 nan 0.4000 6.4266 nan 3454.0 4.8267
116098966 nan 3.9420 1.7026 nan 5075.0 NaN
116142198 nan 0.2890 0.7965 nan 3196.0 4.9380
116157537 nan 4.8775 0.1744 nan 6973.0 3.2464
116157661 nan 0.3753 0.8588 nan 3173.0 4.8497
116244652 nan 0.1637 3.7934 nan 2897.0 5.1390
116246235 nan 0.3603 4.1477 nan 3451.0 4.8640
116262415 nan 27.2438 4.9166 nan 4384.0 NaN
116264089 nan 0.8202 9.2627 1.3062 5489.0 4.5934
116279676 nan 1.7179 0.7186 nan 7024.06 4.1584
116281940 nan 0.1992 5.7602 nan 3160.0 5.0654
116283382 nan 0.2894 11.6140 nan 3400.0 4.9376
116362165 nan 2.0508 1.3925 nan 6984.0 3.9989
116363657 nan 10.3697 2.8669 nan 4854.0 NaN
116377692 nan 0.9719 10.0769 nan 5448.0 4.4405
116378538 nan 1.2016 5.2533 nan 5897.0 4.3083
116385975 nan 0.9627 3.0935 nan 5748.0 4.4839
116386125 nan 0.6947 1.1023 nan 3715.0 4.5738
116390308 nan 0.4236 0.1889 nan 3269.0 4.8051
116403299 nan 0.4245 4.5010 nan 3394.0 4.8044
116415883 nan 0.2656 0.6903 nan 3109.0 4.9661
116483734 nan 0.6608 2.4822 nan 4223.45 4.6174
116483958 nan 0.9965 8.0797 nan 5849.0 4.4648
116484300 nan 0.8040 5.9300 nan 5195.56 4.5736
116486054 nan 0.5361 10.4192 nan 3689.0 4.7059
116496124 nan 0.6835 1.0316 nan 3999.0 4.5826
116501197 nan 0.1951 4.8222 nan 2846.0 5.0729
116521627 nan 0.8465 1.5688 nan 4975.0 NaN
116541746 nan 1.6422 0.4712 nan 6753.63 4.1656
116553919 nan nan 24.0941 nan nan NaN
116609201 nan 0.6095 0.1607 0.1384 3831.0 4.6432
116720937 nan 0.3915 3.4020 nan 3483.0 4.8345
116762346 nan 0.1858 0.2235 nan 3077.0 5.0908
116786255 nan 0.3167 7.1400 nan 3469.0 4.9077
116859605 nan 0.5563 2.0922 nan 3623.0 4.6885
116881445 nan 0.9980 7.0192 nan 5838.0 4.4610
116989163 nan 0.6430 0.7585 nan 3403.0 4.6154
117008676 nan 0.4202 1.7626 nan nan 4.8082
117023007 nan 0.5667 0.9771 nan 3718.0 4.6796
117097930 nan 0.4160 0.9857 nan 3520.0 4.8120
117098739 nan 0.2316 0.3714 nan 3044.0 5.0123
117148947 nan 0.6806 1.0197 nan 3894.0 4.5849
117159425 nan 0.4769 4.3492 nan nan 4.7577
117160057 nan 9.1323 0.9910 nan 5279.0 NaN
117164961 nan 0.7628 3.7390 nan 5121.0 4.6078
117218597 nan 0.2080 4.5808 nan 3206.0 5.0498
117235793 nan 1.8642 0.1086 nan 7479.0 NaN
117276909 nan 0.1988 0.4237 nan 3202.0 5.0660
117280404 nan 1.1667 18.7905 nan 6037.0 4.3538
117292343 nan 0.2706 1.2658 nan 3238.0 4.9599
117378334 nan 1.8619 3.5525 nan 6072.3 3.9532
117397619 nan 2.9878 1.0039 8.0382 5350.0 NaN
117409109 nan 0.7485 10.5608 nan 3970.77 4.4821
117409112 nan 0.2634 3.0830 nan 3114.0 4.9688
117409256 nan 0.2014 0.8001 nan 3115.0 5.0614
117413144 nan 1.1105 3.3596 nan 6145.85 4.4137
117420341 nan 0.6567 2.5875 nan 4954.49 4.7172
117420343 nan 0.7318 2.5846 nan 4808.62 4.6014
117489874 nan 0.1554 0.4125 nan 2964.0 5.1593
117507238 nan 0.6253 5.3541 nan 3685.0 4.6300
117518833 nan 0.5885 8.1474 nan 3853.0 4.6609
117527724 nan 0.6261 0.7627 nan 3435.0 4.6293
117538202 nan 5.4325 12.4838 nan 5071.85 NaN
117545157 nan 0.3182 4.6827 nan 3014.0 4.9062
117549840 nan 0.5665 0.3330 nan 3566.0 4.6797
117626744 nan 0.1904 0.2579 nan 3026.0 5.0818
117628957 nan 0.4928 3.3912 nan 3500.0 4.7437
117645230 nan 1.3470 8.6856 nan 6197.0 4.2545
117645279 nan 0.2063 4.5735 nan 3030.0 5.0527
117648313 nan 0.4500 11.3835 nan nan 4.8114
117648603 nan 4.9723 2.3235 9.2982 5467.0 nan
117649333 nan 0.9324 2.2270 nan 5528.0 4.4866
117651099 nan 0.9268 2.6451 nan 6136.0 4.5693
117733581 nan 0.1338 0.6256 nan nan 5.2192
117747153 nan 0.9322 2.8065 nan 5215.0 4.4484
117748478 nan 0.5608 0.6103 nan 3374.0 4.6846
117756340 nan 0.4882 1.3746 nan 3509.0 4.7478
117764305 nan 1.0903 6.2714 nan 5117.0 4.2980
117766002 nan 41.0899 4.8378 nan 3957.0 NaN
117775924 nan 0.3439 4.3909 nan 3218.0 4.8800
117798466 nan 0.5154 6.4911 nan 3653.0 4.7240
117817258 nan 0.1920 0.2405 nan 3105.0 5.0787
117869811 nan 0.3348 1.9559 nan 3280.0 4.8891
117874493 nan 39.2998 7.7636 nan 4171.0 NaN
117874958 nan 0.4521 6.0815 nan 3246.0 4.7796
117874959 nan 0.6413 6.3551 nan 3560.0 4.6167
117879940 nan 1.7894 2.1931 nan 5559.0 3.9239
117880865 nan 0.3552 0.4905 nan 3273.0 4.8689
117885787 nan 4.5331 0.1902 nan 7878.0 nan
117896343 nan 0.3438 6.5833 nan 3283.0 4.8800
117897568 nan 0.2910 2.6158 nan nan 4.9594
117923090 nan 0.6971 6.0548 nan 4127.0 4.5644
117923874 nan 1.7151 7.5574 nan nan NaN
117925262 nan 4.7402 0.6030 nan 7405.0 nan
117979897 nan 1.3514 0.5519 nan 6030.0 4.2249
118053599 nan 0.6338 6.9224 nan 3364.0 4.6230
118054887 nan 0.3025 2.6443 nan 3345.0 4.9230
118069524 nan 0.5061 0.3475 nan 3309.0 4.7321
118078652 nan 0.1947 4.0585 nan 3148.0 5.0737
118079187 nan 0.5891 3.0954 nan 3861.0 4.6604
118079457 nan 0.3116 0.4900 nan 3238.0 4.9131
118159186 nan 0.8021 0.1595 nan 3864.0 4.4078
118174633 nan 0.1442 4.5225 nan 2822.0 5.1891
118181946 nan 2.6086 3.1585 nan 6364.52 3.7080
118182968 nan 0.9728 13.4769 nan 5857.0 4.4865
118195419 nan 2.9628 3.7416 nan 5772.82 3.5075
118271813 nan 0.2390 1.0983 nan 3201.0 5.0015
118278380 nan 0.4186 1.0818 nan 3005.0 4.8096
118301925 nan 1.2284 0.7853 0.7770 6217.14 4.3385
118307280 19.6 0.6667 1.5984 nan 4092.0 4.5960
118322787 nan 33.4690 3.4679 nan 4022.0 NaN
118327563 nan 0.2540 0.2287 nan 26300.0 5.3005
118328622 nan 55.3636 12.3990 nan 3820.0 NaN
118333218 nan 0.2456 0.5975 nan 3175.0 4.9922
118335959 nan 1.6794 0.1278 nan 8079.0 nan
118338074 nan 0.9260 5.6436 nan 5555.35 4.4956
118338075 nan 0.6255 5.6275 nan 4471.58 NaN
118389230 nan 1.4456 4.2443 4.3104 5605.0 4.1140
118409165 nan 0.3288 0.3166 nan 3160.0 4.8952
118413209 nan 10.5568 4.1487 nan 4945.0 NaN
118413949 nan nan 4.9863 nan nan nan
118417718 nan 1.5677 1.9965 nan 7262.0 4.2613
118525927 nan 54.2914 19.2943 nan 3919.0 NaN
118541883 nan 0.9134 2.6302 nan 5764.0 4.5296
118572803 nan 0.7554 10.5644 nan 5065.0 4.6112
118574586 nan 0.7322 5.6145 nan 5538.0 4.6956
118580840 nan 2.8291 10.3261 nan 5185.0 NaN
118585716 nan 0.4211 5.3711 nan 3223.0 4.8074
118587940 nan 1.3468 9.0777 nan 6298.0 4.2711
118589502 nan 1.0142 6.9176 nan 5883.0 4.4536
118589796 nan 0.6150 2.8563 nan 3463.0 4.6385
118600826 nan 0.3340 1.5481 nan 3227.0 4.8899
118653298 nan 0.1859 2.7346 nan 3164.0 5.0908
118686328 nan 0.4559 0.8846 nan 3352.0 4.7762
118790992 nan 0.6445 3.8020 nan 3510.0 4.6141
118802400 nan 2.0451 1.7219 nan 5197.0 NaN
118807628 nan 0.5595 1.6264 nan 3293.0 4.6858
118826498 nan 1.4935 0.1049 nan 5996.0 4.1350
118833673 nan 0.5361 7.0051 nan 3305.0 4.7060
119007726 nan 9.5945 1.2136 nan 4868.0 NaN
119080861 nan 0.5164 10.0743 nan 4353.57 4.8453
119093189 nan 3.9875 1.0859 nan 5126.0 NaN
119286519 nan 0.1400 1.0376 nan 2883.0 5.2010
119288857 nan 1.7433 0.2521 nan 8470.0 nan
119289797 nan 1.1818 4.1309 nan 5158.0 4.2325
119364279 nan 0.9279 3.3679 nan 5595.24 4.4987
119578910 nan 0.1889 5.1921 30.0000 2950.0 5.0847
119578924 nan 0.5135 5.4942 nan 3851.0 4.7256
119588033 nan 0.8009 5.8943 nan 5217.0 4.5803
119676968 nan 1.3034 6.4925 nan 5174.0 NaN
119855395 nan 0.5408 4.8679 nan 3319.0 4.7019
119874036 nan 12.6128 2.3929 nan 4516.9 NaN
119892060 nan 1.1142 2.7237 nan 5886.0 4.3723
119894141 nan 69.3545 3.9972 nan 4140.0 NaN
119941661 nan 0.2658 2.5064 nan 3365.0 4.9658
119987935 nan 99.0411 6.1188 nan 3564.0 NaN
120037828 nan 3.3599 0.1411 nan 6952.0 3.5673
120040579 nan 0.6192 13.3389 nan 3949.0 4.6350
120043827 nan 0.9860 0.1815 nan 3961.0 4.2427
120101295 nan 0.2965 7.3632 nan 3268.0 4.9296
120110939 nan 0.2034 0.7338 nan 3126.0 5.0578
120173450 nan 62.1436 8.1797 nan 3866.0 NaN
120182707 nan 1.0774 2.5106 nan 5839.0 4.3945
120195364 nan 44.0143 9.0451 nan 3970.0 NaN
120251682 nan 0.3274 8.9724 nan 3261.0 4.8966
120288611 nan 19.8675 5.9003 nan 4503.0 NaN
120334442 nan 0.4026 5.4311 nan 3139.0 4.8243
120334451 nan 0.6052 5.4186 nan 3351.0 4.6468
120334854 nan 0.8280 4.1770 nan 5344.0 4.5658
120344587 nan 10.1435 2.5525 nan 4795.0 NaN
120361800 nan 0.7958 6.0308 nan 4336.0 4.4689
120390173 nan 0.5903 3.2669 nan 3875.0 4.6595
120393264 nan 1.7625 0.1047 nan 6484.0 4.0664
120408718 nan 1.0692 5.0485 nan 5779.0 4.3970
120421430 nan 1.4578 0.5240 nan 6973.56 4.2954
120442975 nan 0.2179 0.5195 nan 3032.0 5.0334
120460937 nan 0.7511 10.0891 nan 4787.0 4.5731
120462356 nan 1.0162 2.9877 nan 6033.0 4.4733
120484415 nan 0.4359 6.2110 nan 3480.0 4.7941
120488589 nan 0.2760 3.3136 nan nan 4.9749
120495338 nan 0.8342 7.6878 nan 5648.85 4.5964
120506718 nan 0.1888 1.6137 nan 3117.0 5.0849
120522722 nan 0.2198 0.1004 nan 2843.0 5.0304
120545688 nan 0.5043 5.1586 nan 3396.0 4.7337
120562863 nan 0.7243 8.4628 nan 5071.89 4.6477
120566166 nan 0.7549 8.0596 nan 4808.0 4.5743
120566395 nan 1.6559 1.9364 2.2774 6001.0 4.0453
120585579 nan 1.1264 3.1872 nan 6190.0 4.4102
