# logg    Teff                      
# [cm/s2] [K]   aLSM(u1)  bLSM(u2)    
# ----- ------ -------- --------
 2.50   2000   0.9285  -0.0652
 3.00   2000   0.9675  -0.1052
 3.50   2000   0.9696  -0.1086
 4.00   2000   0.9797  -0.1222
 4.50   2000   1.0019  -0.1502
 5.00   2000   0.9531  -0.1096
 5.50   2000   0.8858  -0.0436
 2.50   2100   0.8605  -0.0008
 3.00   2100   0.9339  -0.0710
 3.50   2100   1.0056  -0.1434
 4.00   2100   0.9778  -0.1143
 4.50   2100   0.9685  -0.1152
 5.00   2100   0.9385  -0.0905
 5.50   2100   0.8850  -0.0383
 2.50   2200   0.8599  -0.0339
 3.00   2200   0.8118   0.0562
 3.50   2200   0.9326  -0.0663
 4.00   2200   0.9652  -0.0923
 4.50   2200   0.9343  -0.0652
 5.00   2200   0.9309  -0.0788
 5.50   2200   0.8911  -0.0458
 2.50   2300   0.8343   0.0193
 3.00   2300   0.8448   0.0033
 3.50   2300   0.8311   0.0481
 4.00   2300   0.8998  -0.0167
 4.50   2300   0.8732   0.0137
 5.00   2300   0.8470   0.0221
 5.50   2300   0.8149   0.0388
 2.50   2400   0.7287   0.1878
 3.00   2400   0.7309   0.1551
 3.50   2400   0.7423   0.1552
 4.00   2400   0.7518   0.1559
 4.50   2400   0.8090   0.1027
 5.00   2400   0.7693   0.1217
 5.50   2400   0.7980   0.0745
 2.50   2500   0.6581   0.3120
 3.00   2500   0.5993   0.3380
 3.50   2500   0.6114   0.3164
 4.00   2500   0.6559   0.2691
 4.50   2500   0.6819   0.2399
 5.00   2500   0.7133   0.2004
 5.50   2500   0.7320   0.1633
 2.50   2600   0.6748   0.2600
 3.00   2600   0.5642   0.3708
 3.50   2600   0.4887   0.4610
 4.00   2600   0.5188   0.4223
 4.50   2600   0.5655   0.3686
 5.00   2600   0.6194   0.3053
 5.50   2600   0.6402   0.2715
 2.50   2700   0.6219   0.2924
 3.00   2700   0.5428   0.3833
 3.50   2700   0.4391   0.4837
 4.00   2700   0.4206   0.5022
 4.50   2700   0.4567   0.4663
 5.00   2700   0.4972   0.4257
 5.50   2700   0.5598   0.3531
 2.50   2800   0.5666   0.3392
 3.00   2800   0.5078   0.4109
 3.50   2800   0.3887   0.5130
 4.00   2800   0.3402   0.5566
 4.50   2800   0.3579   0.5437
 5.00   2800   0.4016   0.5017
 5.50   2800   0.4769   0.4254
 2.50   2900   0.5308   0.3468
 3.00   2900   0.4704   0.4242
 3.50   2900   0.3630   0.5277
 4.00   2900   0.3035   0.5704
 4.50   2900   0.2812   0.5830
 5.00   2900   0.3118   0.5604
 5.50   2900   0.3906   0.4847
 2.50   3000   0.4769   0.3914
 3.00   3000   0.4300   0.4310
 3.50   3000   0.3509   0.5159
 4.00   3000   0.2769   0.5639
 4.50   3000   0.2517   0.5877
 5.00   3000   0.2435   0.5905
 5.50   3000   0.3042   0.5396
 2.50   2300   0.3685   0.5069
 3.00   2300   0.3895   0.4724
 3.50   2300   0.4372   0.4266
 4.00   2300   0.4846   0.3947
